timestamp,rule_id,rule_level,rule_description,rule_groups,agent_name,src_ip,dst_ip,dst_port,hit_count_60s,hour_of_day,label
2026-06-24 00:00:21.674000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,78.186.54.65,,,1,0,0
2026-06-24 00:00:50.661000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,91.92.40.176,,,1,0,0
2026-06-24 00:01:05.725000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,118.122.196.230,,,1,0,0
2026-06-24 00:01:46.339000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,14.29.214.161,,,1,0,0
2026-06-24 00:01:47.760000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,14.29.214.161,,,2,0,0
2026-06-24 00:01:51.779000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,51.178.114.78,,,1,0,0
2026-06-24 00:01:51.781000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,51.178.114.78,,,2,0,0
2026-06-24 00:02:24.964000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,91.92.40.176,,,1,0,0
2026-06-24 00:03:01.935000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,46.135.109.64,,,1,0,0
2026-06-24 00:03:02.105000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,46.135.109.64,,,2,0,0
2026-06-24 00:03:17.959000+00:00,5762,4,sshd: connection reset,syslog|sshd,agent-vm2,62.60.130.219,,,1,0,0
2026-06-24 00:03:45.216000+00:00,5762,4,sshd: connection reset,syslog|sshd,vm1-manager,45.148.10.151,,,1,0,0
2026-06-24 00:03:45.886000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,51.178.114.78,,,1,0,0
2026-06-24 00:03:45.935000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,51.178.114.78,,,2,0,0
2026-06-24 00:03:47.887000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,14.29.214.161,,,1,0,0
2026-06-24 00:03:47.908000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,14.29.214.161,,,2,0,0
2026-06-24 00:04:03.270000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,91.92.40.176,,,1,0,0
2026-06-24 00:04:37.358000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,209.99.185.239,,,1,0,0
2026-06-24 00:05:36.002000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,51.178.114.78,,,1,0,0
2026-06-24 00:05:36.071000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,51.178.114.78,,,2,0,0
2026-06-24 00:05:39.592000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,91.92.40.176,,,1,0,0
