timestamp,rule_id,rule_level,rule_description,rule_groups,agent_name,agent_id,src_ip,dst_ip,dst_port,label,hit_count_60s,hour_of_day
2026-06-24 00:00:21.674000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,1,78.186.54.65,,,0,1,0
2026-06-24 00:00:50.661000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,0,91.92.40.176,,,0,1,0
2026-06-24 00:01:05.725000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,1,118.122.196.230,,,0,1,0
2026-06-24 00:01:46.339000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,1,14.29.214.161,,,0,1,0
2026-06-24 00:01:47.760000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,1,14.29.214.161,,,0,2,0
2026-06-24 00:01:51.779000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,1,51.178.114.78,,,0,1,0
2026-06-24 00:01:51.781000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,1,51.178.114.78,,,0,2,0
2026-06-24 00:02:24.964000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,0,91.92.40.176,,,0,1,0
2026-06-24 00:03:01.935000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,1,46.135.109.64,,,0,1,0
2026-06-24 00:03:02.105000+00:00,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,1,46.135.109.64,,,0,2,0
2026-06-24 00:03:17.959000+00:00,5762,4,sshd: connection reset,syslog|sshd,agent-vm2,1,62.60.130.219,,,0,1,0
