timestamp,rule_id,rule_level,rule_description,rule_groups,agent_name,agent_id,src_ip,dst_ip,dst_port,label
2026-06-24T00:00:21.674+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,78.186.54.65,,,
2026-06-24T00:00:50.661+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:01:05.725+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,118.122.196.230,,,
2026-06-24T00:01:46.339+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,14.29.214.161,,,
2026-06-24T00:01:47.760+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,14.29.214.161,,,
2026-06-24T00:01:51.779+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:01:51.781+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:02:24.964+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:03:01.935+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,46.135.109.64,,,
2026-06-24T00:03:02.105+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,46.135.109.64,,,
2026-06-24T00:03:17.959+0000,5762,4,sshd: connection reset,syslog|sshd,agent-vm2,001,62.60.130.219,,,
2026-06-24T00:03:45.216+0000,5762,4,sshd: connection reset,syslog|sshd,vm1-manager,000,45.148.10.151,,,
2026-06-24T00:03:45.886+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:03:45.935+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:03:47.887+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,14.29.214.161,,,
2026-06-24T00:03:47.908+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,14.29.214.161,,,
2026-06-24T00:04:03.270+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:04:37.358+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,209.99.185.239,,,
2026-06-24T00:05:36.002+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:05:36.071+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:05:39.592+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:05:40.583+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,14.29.214.161,,,
2026-06-24T00:05:40.583+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,14.29.214.161,,,
2026-06-24T00:05:47.624+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,2.57.121.112,,,
2026-06-24T00:06:22.054+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,46.135.109.64,,,
2026-06-24T00:06:22.095+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,46.135.109.64,,,
2026-06-24T00:07:13.908+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:07:19.928+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,209.99.185.239,,,
2026-06-24T00:07:34.134+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,14.29.214.161,,,
2026-06-24T00:07:34.183+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,14.29.214.161,,,
2026-06-24T00:08:50.209+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:08:56.220+0000,5762,4,sshd: connection reset,syslog|sshd,agent-vm2,001,45.148.10.152,,,
2026-06-24T00:09:00.812+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,193.46.255.86,,,
2026-06-24T00:09:24.296+0000,5762,4,sshd: connection reset,syslog|sshd,vm1-manager,000,45.148.10.152,,,
2026-06-24T00:09:28.818+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,14.29.214.161,,,
2026-06-24T00:09:28.859+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,14.29.214.161,,,
2026-06-24T00:10:04.383+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,209.99.185.239,,,
2026-06-24T00:10:14.455+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,2.57.121.25,,,
2026-06-24T00:10:26.496+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:11:00.467+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:11:00.908+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:11:32.665+0000,86003,3,Docker: Error message,docker|docker-error,vm1-manager,000,,,,
2026-06-24T00:11:32.666+0000,86003,3,Docker: Error message,docker|docker-error,vm1-manager,000,,,,
2026-06-24T00:11:32.666+0000,86003,3,Docker: Error message,docker|docker-error,vm1-manager,000,,,,
2026-06-24T00:11:32.666+0000,86003,3,Docker: Error message,docker|docker-error,vm1-manager,000,,,,
2026-06-24T00:11:34.677+0000,86003,3,Docker: Error message,docker|docker-error,vm1-manager,000,,,,
2026-06-24T00:11:58.792+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:12:38.889+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,209.99.185.239,,,
2026-06-24T00:12:48.383+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:12:48.431+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:13:33.025+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:14:34.491+0000,5762,4,sshd: connection reset,syslog|sshd,agent-vm2,001,45.148.10.152,,,
2026-06-24T00:14:42.710+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:14:43.141+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:15:01.297+0000,5762,4,sshd: connection reset,syslog|sshd,vm1-manager,000,45.148.10.151,,,
2026-06-24T00:15:07.325+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:15:23.400+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,209.99.185.239,,,
2026-06-24T00:16:37.264+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:16:37.305+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:16:45.593+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:18:07.979+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,209.99.185.239,,,
2026-06-24T00:18:22.028+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:18:27.329+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:18:27.357+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:19:58.291+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:20:13.345+0000,5762,4,sshd: connection reset,syslog|sshd,agent-vm2,001,45.148.10.141,,,
2026-06-24T00:20:14.863+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:20:14.895+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,agent-vm2,001,51.178.114.78,,,
2026-06-24T00:20:42.379+0000,5762,4,sshd: connection reset,syslog|sshd,vm1-manager,000,62.60.130.219,,,
2026-06-24T00:20:50.401+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,209.99.185.239,,,
2026-06-24T00:21:24.485+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,78.128.112.74,,,
2026-06-24T00:21:34.498+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:23:10.742+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
2026-06-24T00:23:28.800+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,209.99.185.239,,,
2026-06-24T00:24:27.053+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,193.46.255.86,,,
2026-06-24T00:24:47.089+0000,5710,5,sshd: Attempt to login using a non-existent user,syslog|sshd|authentication_failed|invalid_login,vm1-manager,000,91.92.40.176,,,
